title	content
צעיר נפצע קשה בעימותים עם פלסטינים בחווה חקלאית בבנימין	"שני צעירים יהודים נפצעו, אחד מהם באורח קשה והשני באורח קל, לאחר שעל פי החשד הותקפו באבנים במהלך עימות עם כמה פלסטינים בחווה חקלאית פרטית של משפחה פלסטינית ליד צומת רימונים שבבנימין. החשודים נמלטו לאחד הכפרים הסמוכים. צוות מד""א פינה אותם לבית החולים שערי צדק בירושלים, וכוחות צה""ל נמצאים במקום. לטענת המשפחה הפלסטינית, בני המשפחה הגיעו הבוקר לקטוף זיתים והמתנחלים הם אלו שתקפו אותם. אב ובנו פונו לבית חולים לקבלת טיפול רפואי."
"צפון קוריאה: ""ישראל מבצעת פשעי מלחמה בחסות ארה""ב"""	"משרד החוץ של צפון קוריאה האשים את ישראל בהפצצת בית החולים אל-האלי בעזה ב-17 באוקטובר, וטען כי היא ביצעה בגלוי פשע מלחמה ""תחת חסותה של ארצות הברית"". בהצהרה שהתפרסמה בסוכנות הידיעות הממלכתית של צפון קוריאה KCNA, דובר המשרד האשים גם את ארה""ב בכך ש""נתנה לישראל אור ירוק לטבח בפלסטינים ללא כל דאגה בכך שהיא מספקת לה נשק ותמיכה צבאית, כולל נושאות המטוסים שהציבה בים התיכון""."
"עוזרת מזכיר המדינה האמריקני לענייני המזה""ת תבקר בישראל ובמדינות נוספות"	"עוזרת מזכיר המדינה האמריקני לענייני המזרח התיכון ברברה ליף תגיע לביקור במזרח התיכון כדי להתייעץ עם השותפות האזוריות של ארה""ב, לקדם את המאמצים למניעת התפשטות המלחמה באזור וכדי לדון בפתרונות הומניטריים להגנה על אזרחים. תחילה תגיע ליף לאיחוד האמירויות ולאחר מכן היא תמשיך לקטאר, עומאן, מצרים, ירדן וישראל. "
"כוחות משולבים של צה""ל ביצעו הלילה פשיטה ממוקדת בצפון רצועת עזה"	"כוחות צה""ל בפיקוד חטיבת גבעתי ביצעו הלילה פשיטה ממוקדת באמצעות טנקים בשטח צפון רצועת עזה, כחלק מהכנת האזור לשלבי הלחימה הבאים. כך מסר דובר צה""ל, שציין כי במסגרת הפעילות הכוחות איתרו ותקפו מחבלים רבים, השמידו תשתיות טרור, עמדות נ""ט וביצעו עבודות לארגון האזור. הכוחות יצאו משטח הרצועה בסיום המשימה."
"העצרת הכללית של האו""ם תתכנס לדיון חירום על המלחמה בישראל, שיימשך יומיים"	"העצרת הכללית של האו""ם תתכנס היום בשעה 17:00, שעון ישראל, לדיון חירום על מלחמה בישראל, לבקשת הקבוצה הערבית ובהובלת ירדן וארגון המדינות המוסלמיות. בכנס, שיימשך יומיים, ינאם גם שר החוץ של איראן חוסיין אמיר עבדאללהיאן וביום שישי תתקיים הצבעה על הצעת החלטה שהוגשה על ידי ירדן. ההצעה, מתעלמת לחלוטין מקיומו של חמאס ולא מזכירה אותו או את הטבח שביצע, קוראת להפסקת אש מיידית ואינה מתייחסת כלל לירי הטילים והרקטות על ישראל או לזכותה להגן על עצמה."
"ארה""ב: שני שלישים מהסטודנטים האמריקנים רואים במתקפת חמאס מעשה טרור"	"שני שלישים מהסטודנטים בארה""ב, ששמעו על מתקפת הפתע של חמאס, רואים בה מעשה טרור, ורק 12% אמרו כי מדובר ב""פעולה התנגדות מוצדקת"". כך לפי סקר שנערך עבור רשת NBC האמריקנית על רקע המהומות שפרצו בקמפוסים בארה""ב בעקבות המלחמה בישראל. 52% מאלו שהשיבו על הסקר האשימו את חמאס בתקיפה, 11% האשימו את ישראל, 12% האשימו ממשלות אחרות במזרח התיכון ו-25% אמרו כי ""גורם אחר"" אשם בכך. לפי נתוני הסקר,סטודנטים רפובליקנים וסטודנטים לבנים נטו להטיל יותר את האשמה על חמאס מאשר סטודנטים דמוקרטים וסטודנטים לא לבנים."
מאות ארגונים מ-60 מדינות חתמו על עצומה הקוראת להפסקת אש מיידית בעזה ובישראל	"למעלה מ-360 אלף בני אדם ויותר מ-500 ארגונים מ-60 מדינות ברחבי העולם חתמו על העצומה ""CeasefireNOW#"" שהוגשה למועצת הביטחון של האו""ם וקוראת להפסקת אש מיידית ברצועת עזה ובישראל. העצומה, שאורגנה על ידי ארגון הסיוע הבינלאומי לילדים ""Save the Children"", גם קוראת לסיוע הומניטרי מיידי לעזה. ""זאת בושה שגוף קבלת ההחלטות הגבוה ביותר של האו""ם לשלום וביטחון בינלאומי לא יכול להתגבר על חילוקי הדעות שלו כדי להגן על הילדים הזקוקים לו ביותר"", אמר מנהל סניף הארגון בעזה ובגדה המערבית, ג'ייסון לי.  "
תחזית מזג האוויר: חם מהרגיל עד שרבי, עומסי חום כבדים באזורים שונים	היום תחול התחממות קלה, בעיקר במישור החוף, בשפלה ובצפון הנגב - ומזג האוויר ייעשה חם מהרגיל עד שרבי ברוב הארץ. בשעות הבוקר ינשבו רוחות מזרחיות ערות בהרי הצפון והמרכז. בבקעת כנרות, חוף ים המלח, בקעת הירדן והערבה צפוי להיות עומס חום כבד. הטמפרטורות החזויות היום והלילה: ירושלים 22-31, תל אביב 22-32, חיפה 23-33, צפת 21-28, קצרין 21-34, טבריה 22-37, נצרת 22-34, עפולה 21-37, בית שאן 21-37, לוד 22-34, אשדוד 20-31, עין גדי 28-36, באר שבע 25-35, מצפה רמון 22-30, אילת 25-37.
9 נקודות לדני אבדיה, וושינגטון הובסה במשחק הפתיחה	וושינגטון וויזארדס פתחה את העונה בתבוסה 143:120 באינדיאנה, כשדני אבדיה קולע תשע נקודות ומוסיף שבעה ריבאונדים וחמישה אסיסטים. הישראלי, שהתחיל את עונתו הרביעית ב-NBA, חתם מוקדם יותר השבוע על הארכת חוזה לארבע שנים תמורת שכר מובטח של 55 מיליון דולר.
הבית הלבן: נתניהו וביידן דנו במאמצי שחרור החטופים ובהוצאת זרים מעזה	"הבית הלבן פרסם פרטים מהשיחה שנערכה בין נשיא ארה""ב ג'ו ביידן לראש הממשלה בנימין נתניהו מוקדם יותר. לפי הבית הלבן, השניים דנו בהתפתחויות בעזה, במאמצים לאיתור ושחרור חטופים ובהם אזרחים אמריקנים, ובמאמצים לאפשר יציאת בעלי אזרחויות זרות מרצועת עזה בהקדם האפשרי. ""הנשיא דיבר על תמיכת ארה""ב בזרימת סיוע הומניטרי לאוכלוסייה בעזה, ובירך על המאמצים להגביר את הסיוע בתקופה הקרובה. הוא הדגיש שלישראל יש כל זכות ואחריות להגן על אזרחיה מטרור, ושעליה לעשות זאת בהתאם לחוק ההומניטרי הבינלאומי"", נמסר מהבית הלבן."
"ארה""ב: לפחות 16 הרוגים ועשרות פצועים בירי המוני במיין"	"לפחות 16 בני אדם נהרגו ו-60-50 נפצעו בירי המוני בעיר לוויסטון במדינת מיין שבארה""ב. כך דיווחה רשת CNN."
הליגה נגד השמצה: מתחילת המלחמה - עלייה של 388% בתקריות האנטישמיות ביחס ל-2022	הליגה נגד השמצה הודיעה כי זיהתה מתחילת המלחמה עלייה של 388% במספר התקריות האנטישמיות בארצות הברית, זאת ביחס לאותה תקופה בשנה שעברה. הליגה דיווחה על 312 תקריות, בהן מקרים של הטרדה, ונדליזם ותקיפה. עוד נמסר כי כ-190 מהתקריות האלו קשורות ישירות למלחמה בין ישראל לחמאס. בתוך כך, המועצה ליחסים אמריקניים-מוסלמים אמרה כי קיבלה 774 תלונות על תקריות איסלאמופוביות נגד פלסטינים וערבים מתחילת המלחמה - המספר הגבוה ביותר מ-2015.
חברת התעופה דלתא מבטלת את כל הטיסות בקו ישראל-ניו יורק עד ה-15 בנובמבר	"חברת התעופה האמריקנית דלתא הודיעה כי תבטל את טיסותיה על קו נתב""ג-ניו יורק לשבועיים נוספים - עד ה-15 בנובמבר. לדברי החברה, ההארכה נובעת מ""הסכסוך המתמשך באזור"". בהודעה של דלתא צוין כי בחברת התעופה ""עוקבים באופן רציף אחר הסביבה הביטחונית בישראל. ליבנו עם כל מי שמושפע, בזמן שאנשינו פועלים למציאת חלופות בטוחות עבור הלקוחות""."
"קובה: ""האו""ם חייב לשים קץ לפטור מעונש של ישראל"""	"משרד החוץ של קובה פרסם הצהרה חריפה, בה האשים את ישראל במתקפת החמאס וטען שהיא תוצאה של 75 שנות הפרת זכויות פלסטינים והשתלטות על שטחיהם. ""קובה דורשת פתרון רחב, צודק ומתמשך לסכסוך הישראלי-פלסטיני"", נמסר בהצהרה. ""מועצת הביטחון של האו""ם חייבת למלא את המנדט שלה ולשים קץ לפטור מעונשה של ישראל, המעצמה הכובשת, שארה""ב הייתה שותפה לה באופן היסטורי, ופוגעת שוב ושוב בשלום, בביטחון וביציבות במזרח התיכון""."
ברוב של 412 מול 10: בית הנבחרים האמריקני העביר החלטה שמביעה תמיכה בישראל	"יו""ר בית הנבחרים האמריקני הנכנס, חבר הקונגרס מייק ג'ונסון, העביר את ההחלטה הראשונה שלו בתפקיד - הבעה תמיכה בישראל. ההחלטה עברה ברוב של 412 חברים מול 10, כששישה חברי קונגרס נמנעו. לפי ההחלטה, שאינה מחייבת באופן מעשי, מאשרת מחדש את המחויבות האמריקנית לישראל וקוראת לחמאס להפסיק באופן מיידי את התקפותיו, ולשחרר את כל החטופים. מוקדם יותר, כשנבחר לתפקיד, אמר ג'ונסון כי ""ההצעה הראשונה שאעלה תהיה תמיכה בידידתינו הטובה ישראל, אנחנו כבר מאחרים בלעשות את זה""."
"ארה""ב: מאוכזבים מהטלת הווטו הרוסית, אבל לא נירתע"	"שגרירת ארצות הברית באו""ם, לינדה תומאס-גרינפילד, ביקרה את רוסיה וסין על הטלת הווטו על ההצעה האמריקנית לגינוי חמאס, ובה הייתה קריאה גם לשחרור החטופים. תומאס-גרינפילד ביקשה מחברות מועצת הביטחון שלא ""לעודד את ההתנהגות הצינית וחסרת האחריות של רוסיה על ידי הצבעה עבור ההצעה שלה, שהוצעה ממש ברגע האחרון באפס התייעצויות וכוללת מספר סעיפים בעייתיים"". לדבריה, ארה""ב ""מאוכזבת מאוד"" מהטלת הווטו, אבל לא תירתע."
ארגון הבריאות העולמי: חמאס צריך להוכיח שהחטופים בחיים - ולשחרר את כולם	"ארגון הבריאות העולמי קרא לחמאס לספק הוכחות לכך שהחטופים שמוחזקים בידיו נמצאים בחיים ולשחרר את כולם. ראש ארגון הבריאות העולמי, טדרוס אדהנום גברייסוס, מסר כי ""חמאס צריך לספק בדחיפות הוכחות שהחטופים חיים ולשחרר את כולם מסיבות הומניטריות ובריאותיות"". "
נתניהו שוחח עם ביידן	"ראש הממשלה בנימין נתניהו שוחח בטלפון עם נשיא ארה""ב ג'ו ביידן."
פוטין: למלחמה בין ישראל לחמאס עלולות להיות השלכות הרסניות - ולא רק במזרח התיכון	"נשיא רוסיה ולדימיר פוטין התייחס למלחמה בין ישראל לחמאס במהלך פגישה עם מנהיגי דת בקרמלין, והזהיר כי היא עלולה להתפשט לאזורים אחרים בעולם. ""המשימה העיקרית שלנו היא לעצור את שפיכות הדמים והאלימות, כי הסלמה נוספת של המשבר טומנת בחובה השלכות חמורות, מסוכנות והרסניות, ולא רק למזרח התיכון - אלא הרבה מעבר לגבולותיו"", אמר פוטין. לדבריו, ""כוחות מסוימים מנסים למשוך כמה שיותר מדינות ועמים לתוך הסכסוך במטרה ליצור גל של כאוס ושנאה הדדית"". הוא הוסיף: ""המאבק בטרור לא יכול להתנהל על פי עיקרון של אחריות קולקטיבית כשזקנים, נשים, ילדים, משפחות שלמות ומאות אלפים נותרים ללא מחסה, מזון, מים, חשמל וטיפול רפואי"". "
גורמים בכירים: סיכוי סביר לעסקת חטופים משמעותית, הדד-ליין מתקרב	גורמים בכירים בישראל אמרו כי יש סיכוי סביר לעסקה משמעותית בתיווך קטארי לשחרור מספר משמעותי של חטופים מעזה, בדגש על נשים, ילדים וקשישים. עם זאת, הם הדגישו כי המגעים לעסקה שכזו לא יבטלו את התמרון הקרקעי - והוא ייצא לפועל. אותם גורמים אמרו כי חלון הזמנים לעסקה מתקצר משמעותית: ישראל מתקרבת לקצה גבול היכולת שלה בכל הקשור להמתנה, ורק אם תציב דד-ליין לקטארים ולאמריקנים החמאס יתגמש. 
"טיל קרקע-אוויר שוגר מלבנון לעבר כטב""מ ישראלי - ויורט"	"טיל קרקע-אוויר שוגר משטח לבנון לעבר כטב""מ ישראלי - ולוחמי ההגנה האווירית של צה""ל יירטו אותו. מדובר צה""ל נמסר כי ""כלי טיס של חיל האוויר תקף בתגובה את מקור הירי בשטח לבנון""."
פיקוד העורף: תושבי עוטף עזה אינם צריכים לשהות יותר בקרבת מרחב מוגן	בהמשך להתרעה שהופצה מוקדם יותר, פיקוד העורף עדכן כי בהתאם להערכת מצב שבוצעה, תושבי יישובי עוטף עזה אינם צריכים לשהות יותר בקרבת מרחב מוגן.
"לוס אנג'לס: גבר פרץ לבית משפחה ישראלית, צעק ""Free Palestine"" - ואיים ברצח"	"משטרת לוס אנג'לס עצרה גבר שפרץ לבית של משפחה ישראלית, צעק ""Free Palestine"" ואיים ברצח. הגבר נעצר כשהוא עירום למחצה וברשותו סכין מטבח. לפי שעה לא ברור אם מדובר בניסיון פריצה אקראי או בפשע על רקע אנטישמי."
רוסיה וסין הטילו וטו במועצת הביטחון על ההצעה האמריקנית לגינוי חמאס	"רוסיה וסין הטילו וטו במועצת הביטחון של האו""ם על ההצעה שהגישה ארה""ב שגינתה את חמאס, קראה לשחרור מיידי של החטופים והכירה בזכות להגנה עצמית מול הטרור. מלטה, יפן, גאנה, גאבון, צרפת, אקוודור, אלבניה, ארה""ב, אנגליה ושוויץ הצביעו בעד; רוסיה, איחוד האמירויות וסין הצביעו נגד; ומוזמביק וברזיל נמנעו. במקביל נפלה גם ההצעה הרוסית, שקראה להפסקת אש הומניטרית והאשימה את ישראל בתקיפת בית החולים וכנסייה בעזה."
גבר נהרג לאחר שהתנגש עם רכבו בעמוד בבאר שבע	"גבר בשנות ה-30 לחייו נהרג בתאונה ברחוב שדרות יצחק רגר בבאר שבע לאחר שסטה עם רכבו מהכביש והתנגש בעמוד. צוות מד""א פינה אותו לבית החולים סורוקה בבאר שבע, שם נקבע מותו. המשטרה פתחה בחקירה. "
גבר נפצע קשה בקטטה בקלנסווה	"גבר בשנות ה-30 לחייו נפצע באורח קשה בקטטה בקלנסווה. צוות מד""א פינה אותו לבית החולים מאיר בכפר סבא ביחד עם גבר בשנות ה-70 לחייו ואדם נוסף שנפצעו באורח קל. "
"יו""ר בית הנבחרים החדש של ארה""ב: ""הצעד הראשון - אישור הסיוע לישראל"""	"יו""ר בית הנבחרים החדש של ארה""ב, מייק ג'ונסון, התחייב כי הצעד הראשון אחרי בחירתו יהיה לאשר את הסיוע לישראל בקונגרס המפולג. ""בעלת הברית שלנו במזרח התיכון תחת מתקפה, הדבר הראשון שאעשה בתפקידי יהיה לאשר את הסיוע לחברתנו היקרה ישראל"", הוא הודיע."
"סגן מנהיג חמאס: ""חיזבאללה במלחמת גבורה, הקרב הזה גם שלהם"""	"סגן מנהיג חמאס סאלח אל-עארורי אמר בריאיון לאל-מנאר כי ""אנו נמצאים בישיבות רצופות עם כל כוחות ההתנגדות והאחים מחיזבאללה, נסראללה עומד בראשם"". לדבריו, ""אנו עדים למלחמת גבורה של התנגדות בלבנון נגד הכיבוש. חיזבאללה פועל בכל הרמות הצבאיות והמדיניות, והקרב הזה הוא הקרב שלהם, ויש לנו מטרה אחת וגורל אחד""."
גבר נפצע קשה מירי בחיפה	"גבר בשנות ה-50 לחייו נפצע באורח קשה מירי ברחוב יוחנן רטנר בחיפה. צוות מד""א פינה אותו לבית החולים רמב""ם בעיר. המשטרה פתחה בחקירה וסורקת אחר חשודים. "
סוריה: מיליציות פרו-איראניות מעיראק שיגרו רקטות לעבר בסיס אמריקני	ברשת אל-מיאדין הלבנונית, שמקורבת לחיזבאללה, דווח על ירי רקטות לעבר כוחות אמריקניים בשדה התעופה אבו חג'ר שבצפון מזרח סוריה. גדודי חיזבאללה בעיראק, המשתייכים לכוח קודס האיראני, לקחו אחריות על הירי. 
אזעקות באשדוד והסביבה	אזעקות הופעלו באשדוד וביישוב ניצן שבמועצה האזורית חוף אשקלון.
"מד""א: 6 נפצעו במטח האחרון, מצבם קל"	"מד""א עדכן כי במטח האחרון נפצעו שישה בני אדם, כולם במצב קל. בראשון לציון אישה בשנות ה-40 לחייה נפגעה משברי זכוכיות, גבר כבן 80 נפגע מרסיס ואישה בת 75 נפגעה משאיפת עשן. בכפר סירקין שליד פתח תקווה נער בן 13 נחבל בראשו מהדף ואישה בשנות ה-20 לחייה נחבלה ברגל בדרך למרחב מוגן. בחולון נערה בת 14 נחבלה ביד בדרך למרחב המוגן."
פצוע קל מרסיסי יירוט ליד פתח תקווה	"מנכ""ל מד""א אלי בין עדכן על פצוע קל מרסיסים במושב כפר סירקין שליד פתח תקווה. הוא ציין כי צוותים ""סורקים בזירות נוספות""."
רקטה נפלה בראשון לציון, נזק כבד נגרם לבניין	"רקטה נפלה בראשון לציון ונזק כבד נגרם לבניין בן שלוש קומות במערב העיר. ""בשלב הנוכחי לא ידוע על נפגעים"", עדכן מנכ""ל מד""א אלי בין. צוותי כיבוי פועלים במקום ומבצעים סריקות לאיתור לכודים. "
אזעקות בגוש דן, בשפלה ובמערב לכיש	אזעקות נשמעו בשורה ארוכה של ערים ויישובים בגוש דן ובשפלה. בין היתר נשמעו אזעקות בראשון לציון, בת ים, חולון, אזור, פתח תקווה, כפר סירקין, ראש העין ואלעד. אזעקות נשמעו גם במערב לכיש, בין היתר בבאר גנים וכפר סילבר.
"ארה""ב: מייק ג'ונסון, מקורבו של טראמפ, נבחר ליו""ר בית הנבחרים"	"אחרי הדחתו של קווין מקארתי מתפקיד יו""ר בית הנבחרים בתחילת החודש, מייק ג'ונסון, מחוקק רפובליקני מלואיזיאנה, נבחר לתפקיד. ג'ונסון נחשב לאחד מתומכיו הנלהבים של  נשיא ארה""ב לשעבר דונלד טראמפ, שאמר אחרי בחירתו: ""אני חושב שהוא הולך להיות יו""ר פנטסטי. מעולם לא שמעתי דבר שלילי עליו, כולם אוהבים אותו"". "
צבע אדום בעוטף עזה	התרעת צבע אדום הופעלה בזיקים ובנתיב העשרה.
חיל האוויר השמיד מתחם צבאי ועמדת תצפית של חיזבאללה בלבנון	"דובר צה""ל עדכן כי ""מטוסי קרב של צה""ל תקפו מספר מטרות צבאיות של ארגון הטרור חיזבאללה בשטח לבנון"". בין המטרות שהושמדו - מתחם צבאי של חיזבאללה ועמד תצפית של ארגון הטרור בלבנון."
"ביידן: ""לא תהיה חזרה לסטטוס קוו בין ישראל לפלסטינים מלפני 7 באוקטובר"""	"נשיא ארה""ב ג'ו ביידן התייחס שוב למלחמה בין ישראל לחמאס והתחייב כי ""לא תהיה חזרה לסטטוס קוו של 6 באוקטובר בין ישראל לפלסטינים. מה שיבוא אחרי (המלחמה) חייב להיות פתרון שתי המדינות"". לדבריו, ""עלינו לזכור שחמאס לא מייצג את הרוב הפלסטיני, הוא מתחבא מאחורי אזרחים. ישראל חייבת לעשות כל שבכוחה כדי להגן על אזרחים חפים מפשע""."
צבע אדום בעוטף עזה	התרעת צבע אדום הופעלה בקיבוץ ארז שבעוטף עזה.
"דובר צה""ל: ""המלחמה תהיה ארוכה, נדרשת סבלנות"""	"דובר צה""ל תת-אלוף דניאל הגרי התייחס לשלבים הבאים בלחימה ואמר כי ""המלחמה הזאת תהיה ארוכה וכדי לעמוד במטרותיה נדרש חוסן, נדרש אמון ונדרשת סבלנות. אנחנו נחזור ונעדכן אתכם בהתקדמות כדי לעמוד במטרות המלחמה שהן השמדת חמאס והחזרת החטופים הביתה""."
"דובר צה""ל על התקיפות המשמעותיות בלב עזה: ""משפרים את מצבנו לקראת השלב הבא"""	"דובר צה""ל התייחס לתקיפות המשמעותיות היום בלב העיר עזה ואמר כי ""אנחנו ממשיכים לתקוף בעזה. תקפנו היום תשתיות טרור בבניינים - וגם מתחת לקרקע. כל תקיפה כזו הולכת ומחזקת אותנו ומשפרת את מצבנו לקראת השלבים הבאים במלחמה""."
"המרכז הסורי למעקב אחר זכויות אדם: ""14 נהרגו בתקיפת צה""ל הלילה"""	המרכז הסורי למעקב אחר זכויות אדם,  ארגון המזוהה עם האופוזיציה היושב בלונדון, דיווח כי מספר ההרוגים כתוצאה מההפצצה הישראלית באזור הגולן הסורי הלילה עומד על 14, בהם ארבעה קצינים. כמו כן דווח כי ישנם גם פצועים, חלקם בדרגות בכירות.
הקבינט המדיני-ביטחוני מתכנס	הקבינט המדיני-ביטחוני מתכנס בשעה זו. מוקדם יותר התכנס קבינט המלחמה המצומצם. 
דיווח: עיראק החלה במגעים לרכישת מערכות הגנה אווירית בעקבות ההסלמה באזור	"העיתון אל-ערבי אל-ג'דיד דיווח כי עיראק מחפשת לרכוש מערכות להגנה אווירית בעקבות ההסלמה במזרח התיכון. בכירים עיראקים מסרו לעיתון כי הממשלה החלה במגעים עם כמה מדינות לרכישת מערכות הגנה אווירית, בהן סין, רוסיה ואיראן. לפי הדיווח, עיראק נערכת להתקפות ישראליות בשטחה במקרה של הרחבת העימות. עוד דווח כי ארה""ב סירבה לספק לעיראק את מערכות ההגנה."
"צה""ל תוקף מטרות של חיזבאללה בלבנון"	"צה""ל תוקף כעת מטרות של חיזבאללה בשטח לבנון. כך נמסר מדובר צה""ל."
"נתניהו על השבת השחורה: ""המחדל ייבדק עד תום, כולם יצטרכו לתת תשובות - גם אני"""	"ראש הממשלה בנימין נתניהו התייחס לשבת השחורה ב-7 באוקטובר ואמר כי ""נברר עד תום מה קרה בגבול הדרום ועוטף עזה. המחדל הזה ייבדק עד תום. כולם יצטרכו לתת תשובות, גם אני. אבל כל זה יקרה אחרי המלחמה"". הוא עדיין לא קיבל על עצמו אחריות למחדל, אך ציין כי ""כראש הממשלה אני אחראי להבטחת עתידה של המדינה - וכעת תפקידי להוביל העם לניצחון מוחץ"". הוא הודיע כי ""הממשלה תקבע ימי אבל לאסון הנורא. אני מרכין את ראשי בפני כל המשפחות שחורבן נורא פקד אותן. אני יודע שחייהם לעולם לא יהיו אותו דבר""."
"נתניהו: ""אנו נערכים לכניסה קרקעית לעזה, העיתוי נקבע על ידי קבינט המלחמה"""	"ראש הממשלה בנימין נתניהו אמר בהצהרה לתקשורת כי ""כל אנשי החמאס הם בני מוות, מעל האדמה ומתחת לאדמה. בתוך עזה ומחוץ לעזה. יחד עם שר הבטחון גלנט, השר בני גנץ, הקבינט, הרמטכ""ל וראשי זרועות הבטחון אנו עובדים מסביב לשעון כדי לממש את יעדי המלחמה עד לנצחון בלי שיקולים פוליטיים"". ברקע הדחייה של התמרון הקרקעי ברצועת עזה, הוא הבהיר כי ""אנחנו נערכים לכניסה קרקעית לעזה"". לדבריו, העיתוי נקבע על ידי קבינט המלחמה. נתניהו הסביר מה מטרות המלחמה: ""לחסל את חמאס על יכולותיו המדיניות והצבאיות - ולעשות כל דבר אפשרי להשיב את החטופים הביתה""."
דיווח: צרפת שלחה ספינה לחופי עזה שתעזור לבתי חולים ברצועה לטפל בפצועים	"צרפת שלחה לחופי עזה ספינה שתסייע לטפל באזרחים פצועים ברצועה. כך דווח ברשת החדשות הצרפתית BFM TV. מוקדם יותר אמר נשיא צרפת עמנואל מקרון לנשיא מצרים עבד אל-פתאח א-סיסי כי ישלח לאזור ""כלי שיט צרפתי שיתמוך בבתי החולים בעזה""."
